# A : Adujst (misalign paramter)
# D : Design values
# Key                                     x [mm]       y [mm]       z [mm]   rotx [deg]   roty [deg]   rotz [deg]  cent_x [mm]  cent_y [mm]  cent_z [mm]
A:E16:HBD:Frame08:Chamber26                    0            0            0            0            0            0            0            0            0
A:E16:SSD                                      0            0            0            0            0            0            0            0            0
A:E16:SSD:Frame00                              0            0            0            0            0            0            0            0            0
A:E16:SSD:Frame00:Chamber00                    0            0            0            0            0            0            0            0            0
A:E16:SSD:Frame00:Chamber01                    0            0            0            0            0            0            0            0            0
A:E16:SSD:Frame00:Chamber02                    0            0            0            0            0            0            0            0            0
A:E16:SSD:Frame01                              0            0            0            0            0            0            0            0            0
A:E16:SSD:Frame01:Chamber03                    0            0            0            0            0            0            0            0            0
A:E16:SSD:Frame01:Chamber04                    0            0            0            0            0            0            0            0            0
A:E16:SSD:Frame01:Chamber05                    0            0            0            0            0            0            0            0            0
A:E16:SSD:Frame02                              0            0            0            0            0            0            0            0            0
A:E16:SSD:Frame02:Chamber06                    0            0            0            0            0            0            0            0            0
A:E16:SSD:Frame02:Chamber07                    0            0            0            0            0            0            0            0            0
A:E16:SSD:Frame02:Chamber08                    0            0            0            0            0            0            0            0            0


# Key                                     x [mm]       y [mm]       z [mm]   rotx [deg]   roty [deg]   rotz [deg]  cent_x [mm]  cent_y [mm]  cent_z [mm]
D:E16                                          0            0            0            0            0            0            0            0            0
D:E16:GTR                                      0            0            0            0            0            0            0            0            0
D:E16:GTR:Frame00                              0            0            0            0       121.53            0            0            0            0
D:E16:GTR:Frame00:Layer00                      0            0            0            0            0            0            0            0            0
D:E16:GTR:Frame00:Layer00:Chamber00            0       -137.6        237.5            0            0            0            0            0            0
D:E16:GTR:Frame00:Layer00:Chamber01            0            0        237.5            0            0            0            0            0            0
D:E16:GTR:Frame00:Layer00:Chamber02            0        137.6        237.5            0            0            0            0            0            0
D:E16:GTR:Frame00:Layer01                      0            0            0            0            0            0            0            0            0
D:E16:GTR:Frame00:Layer01:Chamber00            0         -266        450.3            0            0            0            0            0            0
D:E16:GTR:Frame00:Layer01:Chamber01            0            0        450.3            0            0            0            0            0            0
D:E16:GTR:Frame00:Layer01:Chamber02            0          266        450.3            0            0            0            0            0            0
D:E16:GTR:Frame00:Layer02                      0            0            0            0            0            0            0            0            0
D:E16:GTR:Frame00:Layer02:Chamber00            0       -384.6        636.2            0            0            0            0            0            0
D:E16:GTR:Frame00:Layer02:Chamber01            0            0        636.2            0            0            0            0            0            0
D:E16:GTR:Frame00:Layer02:Chamber02            0        384.6        636.2            0            0            0            0            0            0
D:E16:GTR:Frame01                              0            0            0            0        97.87            0            0            0            0
D:E16:GTR:Frame01:Layer00                      0            0            0            0            0            0            0            0            0
D:E16:GTR:Frame01:Layer00:Chamber03            0         -125        197.7            0            0            0            0            0            0
D:E16:GTR:Frame01:Layer00:Chamber04            0            0        197.7            0            0            0            0            0            0
D:E16:GTR:Frame01:Layer00:Chamber05            0          125        197.7            0            0            0            0            0            0
D:E16:GTR:Frame01:Layer01                      0            0            0            0            0            0            0            0            0
D:E16:GTR:Frame01:Layer01:Chamber03            0       -242.6        404.9            0            0            0            0            0            0
D:E16:GTR:Frame01:Layer01:Chamber04            0            0        404.9            0            0            0            0            0            0
D:E16:GTR:Frame01:Layer01:Chamber05            0        242.6        404.9            0            0            0            0            0            0
D:E16:GTR:Frame01:Layer02                      0            0            0            0            0            0            0            0            0
D:E16:GTR:Frame01:Layer02:Chamber03            0       -363.1        582.7            0            0            0            0            0            0
D:E16:GTR:Frame01:Layer02:Chamber04            0            0        582.7            0            0            0            0            0            0
D:E16:GTR:Frame01:Layer02:Chamber05            0        363.1        582.7            0            0            0            0            0            0
D:E16:GTR:Frame02                              0            0            0            0        74.21            0            0            0            0
D:E16:GTR:Frame02:Layer00                      0            0            0            0            0            0            0            0            0
D:E16:GTR:Frame02:Layer00:Chamber06            0       -137.6        237.5            0            0            0            0            0            0
D:E16:GTR:Frame02:Layer00:Chamber07            0            0        237.5            0            0            0            0            0            0
D:E16:GTR:Frame02:Layer00:Chamber08            0        137.6        237.5            0            0            0            0            0            0
D:E16:GTR:Frame02:Layer01                      0            0            0            0            0            0            0            0            0
D:E16:GTR:Frame02:Layer01:Chamber06            0         -266        450.3            0            0            0            0            0            0
D:E16:GTR:Frame02:Layer01:Chamber07            0            0        450.3            0            0            0            0            0            0
D:E16:GTR:Frame02:Layer01:Chamber08            0          266        450.3            0            0            0            0            0            0
D:E16:GTR:Frame02:Layer02                      0            0            0            0            0            0            0            0            0
D:E16:GTR:Frame02:Layer02:Chamber06            0       -384.6        636.2            0            0            0            0            0            0
D:E16:GTR:Frame02:Layer02:Chamber07            0            0        636.2            0            0            0            0            0            0
D:E16:GTR:Frame02:Layer02:Chamber08            0        384.6        636.2            0            0            0            0            0            0
D:E16:GTR:Frame03                              0            0            0            0        50.55            0            0            0            0
D:E16:GTR:Frame03:Layer00                      0            0            0            0            0            0            0            0            0
D:E16:GTR:Frame03:Layer00:Chamber09            0         -125        197.7            0            0            0            0            0            0
D:E16:GTR:Frame03:Layer00:Chamber10            0            0        197.7            0            0            0            0            0            0
D:E16:GTR:Frame03:Layer00:Chamber11            0          125        197.7            0            0            0            0            0            0
D:E16:GTR:Frame03:Layer01                      0            0            0            0            0            0            0            0            0
D:E16:GTR:Frame03:Layer01:Chamber09            0       -242.6        404.9            0            0            0            0            0            0
D:E16:GTR:Frame03:Layer01:Chamber10            0            0        404.9            0            0            0            0            0            0
D:E16:GTR:Frame03:Layer01:Chamber11            0        242.6        404.9            0            0            0            0            0            0
D:E16:GTR:Frame03:Layer02                      0            0            0            0            0            0            0            0            0
D:E16:GTR:Frame03:Layer02:Chamber09            0       -363.1        582.7            0            0            0            0            0            0
D:E16:GTR:Frame03:Layer02:Chamber10            0            0        582.7            0            0            0            0            0            0
D:E16:GTR:Frame03:Layer02:Chamber11            0        363.1        582.7            0            0            0            0            0            0
D:E16:GTR:Frame04                              0            0            0            0        26.89            0            0            0            0
D:E16:GTR:Frame04:Layer00                      0            0            0            0            0            0            0            0            0
D:E16:GTR:Frame04:Layer00:Chamber12            0       -137.6        237.5            0            0            0            0            0            0
D:E16:GTR:Frame04:Layer00:Chamber13            0            0        237.5            0            0            0            0            0            0
D:E16:GTR:Frame04:Layer00:Chamber14            0        137.6        237.5            0            0            0            0            0            0
D:E16:GTR:Frame04:Layer01                      0            0            0            0            0            0            0            0            0
D:E16:GTR:Frame04:Layer01:Chamber12            0         -266        450.3            0            0            0            0            0            0
D:E16:GTR:Frame04:Layer01:Chamber13            0            0        450.3            0            0            0            0            0            0
D:E16:GTR:Frame04:Layer01:Chamber14            0          266        450.3            0            0            0            0            0            0
D:E16:GTR:Frame04:Layer02                      0            0            0            0            0            0            0            0            0
D:E16:GTR:Frame04:Layer02:Chamber12            0       -384.6        636.2            0            0            0            0            0            0
D:E16:GTR:Frame04:Layer02:Chamber13            0            0        636.2            0            0            0            0            0            0
D:E16:GTR:Frame04:Layer02:Chamber14            0        384.6        636.2            0            0            0            0            0            0
D:E16:GTR:Frame05                              0            0            0            0            0            0            0            0            0
D:E16:GTR:Frame05:Layer00                      0            0            0            0            0            0            0            0            0
D:E16:GTR:Frame05:Layer00:Chamber15            0         -125        197.7            0            0            0            0            0            0
D:E16:GTR:Frame05:Layer00:Chamber16            0            0        197.7            0            0            0            0            0            0
D:E16:GTR:Frame05:Layer00:Chamber17            0          125        197.7            0            0            0            0            0            0
D:E16:GTR:Frame05:Layer01                      0            0            0            0            0            0            0            0            0
D:E16:GTR:Frame05:Layer01:Chamber15            0       -242.6        404.9            0            0            0            0            0            0
D:E16:GTR:Frame05:Layer01:Chamber16            0            0        404.9            0            0            0            0            0            0
D:E16:GTR:Frame05:Layer01:Chamber17            0        242.6        404.9            0            0            0            0            0            0
D:E16:GTR:Frame05:Layer02                      0            0            0            0            0            0            0            0            0
D:E16:GTR:Frame05:Layer02:Chamber15            0       -363.1        582.7            0            0            0            0            0            0
D:E16:GTR:Frame05:Layer02:Chamber16            0            0        582.7            0            0            0            0            0            0
